Alt_Min,Alt_Max,Corr
6.2500,6.3500,8.2
6.3500,6.4500,8.3
6.4500,6.5500,8.4
6.5500,6.6667,8.5
6.6667,6.7667,8.6
6.7667,6.8833,8.7
6.8833,7.0000,8.8
7.0000,7.1000,8.9
7.1000,7.2333,9.0
7.2333,7.3500,9.1
7.3500,7.4667,9.2
7.4667,7.6000,9.3
7.6000,7.7333,9.4
7.7333,7.8667,9.5
7.8667,8.0000,9.6
8.0000,8.1333,9.7
8.1333,8.2833,9.8
8.2833,8.4333,9.9
8.4333,8.5833,10.0
8.5833,8.7500,10.1
8.7500,8.9000,10.2
8.9000,9.0833,10.3
9.0833,9.2500,10.4
9.2500,9.4333,10.5
9.4333,9.6167,10.6
9.6167,9.8000,10.7
9.8000,10.0000,10.8
10.0000,10.2000,10.9
10.2000,10.4167,11.0
10.4167,10.6333,11.1
10.6333,10.8667,11.2
10.8667,11.1000,11.3
11.1000,11.3500,11.4
11.3500,11.6000,11.5
11.6000,11.8667,11.6
11.8667,12.1500,11.7
12.1500,12.4333,11.8
12.4333,12.7333,11.9
12.7333,13.0500,12.0
13.0500,13.3833,12.1
13.3833,13.7333,12.2
13.7333,14.1000,12.3
14.1000,14.4833,12.4
14.4833,14.8833,12.5
14.8833,15.3000,12.6
15.3000,15.7500,12.7
15.7500,16.2167,12.8
16.2167,16.7167,12.9
16.7167,17.2333,13.0
17.2333,17.7833,13.1
17.7833,18.3833,13.2
18.3833,19.0167,13.3
19.0167,19.6833,13.4
19.6833,20.4000,13.5
20.4000,21.1667,13.6
21.1667,21.9833,13.7
21.9833,22.8833,13.8
22.8833,23.8333,13.9
23.8333,24.8667,14.0
24.8667,25.9833,14.1
25.9833,27.2000,14.2
27.2000,28.5333,14.3
28.5333,29.9833,14.4
29.9833,31.5667,14.5
31.5667,33.3167,14.6
33.3167,35.2667,14.7
35.2667,37.4167,14.8
37.4167,39.8167,14.9
39.8167,42.5000,15.0
42.5000,45.5000,15.1
45.5000,48.8833,15.2
48.8833,52.7167,15.3
52.7167,57.0167,15.4
57.0167,61.8500,15.5
61.8500,67.2667,15.6
67.2667,73.2333,15.7
73.2333,79.7000,15.8
79.7000,86.5000,15.9
86.5000,90.0000,16.0